,Eigen,Degree,Between,Between Sub,RWR,RWR Sub
TFB2M,0.0012742294722400066,0.004417741650468281,5.196588482661421e-05,139.57426658349306,0.0001493272389297209,0.0001037435592853654
RPL36,0.003251081626805956,0.006891676974730518,0.00010755772248545211,241.75184437186132,0.0002095668252929777,0.0002322300833010222
MTRF1L,0.0008657661434722416,0.0017670966601873123,4.812899097475503e-05,16.557854811454725,8.316946026636784e-05,4.927527073495105e-05
MRPS12,0.0034929231087687702,0.0065382576426930555,7.01887961251427e-05,208.05771372000126,0.00019970826562448846,0.00021745653795331044
RPS25,0.00292609702057854,0.006714967308711787,7.730092986290499e-05,280.3339823967192,0.0002019815129551676,0.00022778123504876832
RPL5,0.009833052912133648,0.011132708959180067,0.00027617979514887306,1032.0306800412898,0.0003160223182742646,0.00033650149156867147
MRPL2,0.00364486130584314,0.006891676974730518,0.00010883718759125954,330.8717199566143,0.00021162727623870927,0.00023419682767602433
RPS8,0.009858107710514449,0.01608057960770454,0.0003442448389366675,1260.4916691368196,0.0004391470349849135,0.0004584856967179598
POLR2B,0.019023374922084935,0.044707545502739005,0.00423744892116248,15321.039199488336,0.0012845722730128386,0.001180005896135507
MRPS16,0.0031249493986660664,0.006891676974730518,0.00010628926081017444,357.9316562247687,0.0002121233745278695,0.0002393797642348332
ATP5A1,0.007640447178823222,0.010779289627142604,0.00026185133649769197,872.1418982860993,0.00031818052133850497,0.0003340945021250516
RPS5,0.006387918931049002,0.011486128291217531,0.0003267009456909366,1246.7245962375644,0.0003335984892980954,0.0003443737483528277
RPL9,0.010474040802254381,0.021911998586322673,0.0012926192981040714,3748.8118253905345,0.000639205908123793,0.0006403460783509543
PDF,0.000613193193466615,0.0014136773281498499,4.150354439131006e-05,27.960367478144438,7.418600316911301e-05,4.047714287329574e-05
NDUFA4,0.003197482686529959,0.006008128644636862,0.00022997661650167803,743.4510528520248,0.00021288585884567167,0.00022875656242294878
COX7C,0.0032851495260671033,0.0074218059727867115,0.0003523483714098228,777.4019432669348,0.0002581421187935707,0.0002582201847763355
SLIRP,0.0012116455765933285,0.003004064322318431,0.00011773993036122097,156.358126139066,0.00012508351882968156,7.601092476813427e-05
SOD2,0.04780202109420861,0.04276373917653296,0.005338673983545919,15147.424839908328,0.0012027333849434366,0.0012213393913073575
UQCRQ,0.0036850441913374235,0.009365612298992755,0.0006451078387059151,1325.212160138302,0.000323214799272296,0.0003155266676663454
EEF1B2,0.007076024149641084,0.011309418625198799,0.0003237795843558134,749.5986417179374,0.00032871838308604783,0.0002933923762499085
COX6A2,0.001975100798114367,0.00424103198444955,0.00010007243906293477,564.3809104391968,0.00015739386555979295,0.00014409819636071813
UQCRH,0.0028485464641370703,0.007775225304824174,0.0009375020473360079,1232.0449168231937,0.0003074769029747032,0.0003129581889199932
HSPD1,0.03076435107042021,0.027036578900865877,0.0026425626649398642,6709.413454843699,0.000761593332387481,0.0007919210328986696
EIF4A2,0.009417776527630716,0.009365612298992755,0.0002167793243558791,835.248204274771,0.00027344858701273354,0.00024508044574596895
CYC1,0.00654175229750252,0.0169641279377982,0.0017860431056646536,5844.983460387052,0.0005966952139391284,0.0006411078263865803
PSMC3,0.014929742805433232,0.016610708605760735,0.0010967578030082017,3529.8954058007043,0.0004909452463530301,0.0004945375921725998
